"shop_id","product_id","updated_at","quantity"
4001,4100057689,"2015-08-31",0
4001,4100057689,"2015-03-19",1
4001,4100057717,"2015-08-31",2
4001,4100057717,"2015-08-31",0
4001,4100057717,"2015-03-19",1
4001,4100057776,"2016-02-09",0
4001,4100057776,"2015-08-31",1
4001,4100057776,"2015-03-19",1
4001,4100057776,"2015-08-31",0
4001,4100057822,"2015-08-31",0
4001,4100057822,"2015-08-31",2
4001,4100057822,"2015-03-19",1
4001,4100057803,"2015-08-31",1
4001,4100057803,"2015-03-19",1
4001,4100057803,"2015-08-31",0
4001,4100060939,"2015-08-31",1
4001,4100060939,"2015-06-22",1
4001,4100060939,"2015-08-31",0
4001,4100060940,"2015-08-31",1
4001,4100060940,"2015-06-22",1
4001,4100060940,"2015-08-31",0
4001,4100057750,"2015-08-31",2
4001,4100057750,"2015-08-31",0
4001,4100057750,"2015-03-19",1
4001,4100057705,"2015-08-31",3
4001,4100057705,"2015-08-31",0
4001,4100057705,"2014-12-04",2
4001,4100057700,"2016-07-13",0
4001,4100057700,"2015-08-31",1
4001,4100057700,"2015-08-31",0
4001,4100057700,"2015-03-19",1
4001,4100057857,"2015-08-31",2
4001,4100057857,"2015-08-31",0
4001,4100057857,"2015-03-19",1
4001,4100060937,"2015-08-31",0
4001,4100060937,"2015-06-22",1
4001,4100060937,"2015-08-31",1
4001,4100057699,"2015-08-31",2
4001,4100057699,"2015-08-31",0
4001,4100057699,"2015-03-19",1
4001,4100057901,"2015-06-13",0
4001,4100057901,"2015-03-19",1
4001,4100057925,"2016-09-10",0
4001,4100057925,"2015-08-31",1
4001,4100057925,"2016-10-03",2
4001,4100057925,"2015-08-31",0
4001,4100057925,"2015-03-19",1
4001,4100057855,"2015-08-31",2
4001,4100057855,"2015-08-31",0
4001,4100057855,"2015-03-19",1
4001,4100057866,"2015-08-31",2
4001,4100057866,"2015-08-31",0
4001,4100057866,"2015-03-19",1
4001,4100058977,"2015-12-06",1
4001,4300058630,"2015-03-06",1
4001,4300058630,"2015-08-31",0
4001,4300058630,"2016-01-07",0
4001,4300058630,"2015-08-31",2
4001,4100056226,"2016-09-03",1
4001,4100027771,"2015-08-31",1
4001,4100027771,"2016-10-07",0
4001,4100027771,"2015-08-31",0
4001,4100027771,"2013-06-05",1
4001,4300071254,"2014-12-06",0
4001,4300071254,"2013-12-23",1
4001,4300071254,"2015-11-11",1
4001,4100058972,"2016-10-09",0
4001,4100058972,"2016-09-09",1
4001,4100055801,"2015-12-11",0
4001,4100055801,"2015-08-31",1
4001,4100055801,"2015-01-19",1
4001,4100055801,"2015-08-31",0
4001,4100008314,"2014-03-21",1
4001,4100008314,"2014-11-21",0
4001,4100036222,"2013-05-17",1
4001,4100036222,"2015-04-23",0
4001,4100056333,"2016-07-22",1
4001,4300020111,"2015-11-06",2
4001,4300020111,"2016-05-13",0
4001,4300020111,"2013-10-30",1
